,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
189,184,AJ Dillon,GNB,25,RB,15,6,28,22,78.6%,223,10.1,0,10,57.1,35,8.0,1.5,14.9,0
190,185,Dawson Knox,BUF,27,TE,12,11,36,22,61.1%,186,8.5,2,13,50.0,17,5.2,1.8,15.5,0
191,186,Marvin Mims*,DEN,21,WR,16,7,33,22,66.7%,377,17.1,1,9,48.5,60,11.4,1.4,23.6,2
192,187,Chris Moore,TEN,30,WR,17,5,35,22,62.9%,424,19.3,0,16,54.3,49,12.1,1.3,24.9,1
193,188,Josh Oliver,MIN,26,TE,17,14,28,22,78.6%,213,9.7,2,12,53.6,33,7.6,1.3,12.5,1
194,189,Drew Sample,CIN,27,TE,17,10,27,22,81.5%,163,7.4,2,9,44.4,22,6.0,1.3,9.6,0
195,190,Jalen Tolbert,DAL,24,WR,17,6,36,22,61.1%,268,12.2,2,13,55.6,45,7.4,1.3,15.8,1
196,191,Adam Trautman,DEN,26,TE,17,12,35,22,62.9%,204,9.3,3,10,51.4,24,5.8,1.3,12.0,0
197,192,Cedrick Wilson Jr.,MIA,28,WR,15,3,38,22,57.9%,296,13.5,3,14,47.4,31,7.8,1.5,19.7,0
198,193,Ty Chandler,MIN,25,RB,17,4,25,21,84.0%,159,7.6,0,7,48.0,19,6.4,1.2,9.4,0
199,194,Emari Demercado,ARI,24,RB,14,2,30,21,70.0%,119,5.7,0,4,30.0,22,4.0,1.5,8.5,0
200,195,Xavier Gipson,NYJ,22,WR,17,3,38,21,55.3%,229,10.9,0,9,34.2,36,6.0,1.2,13.5,5
201,196,Isaiah Hodgins,NYG,25,WR,17,9,33,21,63.6%,230,11.0,3,12,63.6,24,7.0,1.2,13.5,1
202,197,Skyy Moore,KAN,23,WR,14,8,38,21,55.3%,244,11.6,1,13,44.7,54,6.4,1.5,17.4,0
203,198,Foster Moreau,NOR,26,TE,15,10,25,21,84.0%,193,9.2,1,9,60.0,23,7.7,1.4,12.9,0
204,199,Cedric Tillman,CLE,23,WR,14,3,44,21,47.7%,224,10.7,0,12,40.9,23,5.1,1.5,16.0,0
205,200,Marquez Valdes-Scantling,KAN,29,WR,16,10,42,21,50.0%,315,15.0,1,14,40.5,46,7.5,1.3,19.7,1
